蓉蓉子(00:00:00): 练功回来？

六六(00:00:20): 我来了。今天下雨了，没出去，但是我下楼溜达了一圈等会。

蓉蓉子(00:00:35): 没有我，我剪了个头发自己就变黑了，我头发可多！

六六(00:00:35): 你染头发，你把头发染黑！这么黑吗头发？包点给我。

蓉蓉子(00:00:47): 又左又亮又黑。最近已经交付的。

六六(00:00:56): 你点那个录制怎么在我这都没有显示这么神奇的吗？

蓉蓉子(00:01:02): 它是默认的。我现在基本上设置了默认的录制就不用点了。

六六(00:01:05): 我也设置一下，不然我怕我忘我最近怎么怎么样，说来话长。

蓉蓉子(00:01:12): 会给你发的。对因为你知道为什么想问你哈，因为我看到了，看到你的第一个问题了！我们先看一下你的真实的，实际的情况，你的收获和你的一些有疑问的地方。

六六(00:01:36): 从哪个阶段到现在的收获？

蓉蓉子(00:01:39): 就最近吧当下。现在你你自己的感受。

六六(00:01:43): 我现在倒感觉把产品卖出去，然后去交付之后，比我们共创的时候或者是第一次。用那个模板从去年11月份开始，这个心态还是转变了很多的就是一开始是它是一个模糊的东西，然后你也没有去落地，所以你的所有东西都在空想。你那个空响，就会觉得诶，它到底是什么事态发展，但是现在就是就这次发售就是有点玩玩的很欢脱，对然后就觉得什么样的结果都可以。

蓉蓉子(00:02:22): 发开了对！

六六(00:02:31): 就是那天我不是还在，我都没有特别专心的去备课，去准备什么内容，而是我在那个过程当中去全然的投入去调动很多他们的需求痛点。匹配就是可以给他们照镜子照出来啥，所以我上周的时候我备了两天课，然后但是真正我到讲的时候，我把里边很多东西都推翻了。我一边讲一边推，然后就是最后很神奇的是那个时间跟我预计的就是刚刚好，因为朱莉那朱莉要来你这边，然后但是我拖堂了大概5分钟吧。

蓉蓉子(00:03:09): 那很好，很好！我感觉你现在慢慢进入状态了诶！

六六(00:03:25): 其他的这就是我感觉之前我是有就是那天我跟娟子吃饭来着，她说你不是很多人是不知道？不知道怎么卖，他说你是知道怎么办，但是你没有适合的产品，你不知道卖什么。

蓉蓉子(00:03:47): 现在知道了吗？

六六(00:03:52): 其实我觉得一开始还说了两条线吗？有一个跟感知相关的，然后一个就是别人来找我能解决问题的，但是在那个实战营里面其实也不断激发大家的觉知，我觉得其实也算是把那个产品以另外一种形式去呈现了。

蓉蓉子(00:04:17): 对。

六六(00:04:18): 只不过可能不一定是在身体上对就支持心理上也算是一种。

蓉蓉子(00:04:23): 然后最后你就会发现产品是没有线的，一开始是有限的，它一定会有不同的产品形态出来，但是后面的时候你会发现，原来我做的是一件事情。

六六(00:04:33): 哈哈哈。

六六(00:04:46): 其实有点像我之前做治疗师学各种技术就一开始是一个技术，然后对不同的人，有的人就会有效，有的人就会没效，然后你就发现没效的时候你又学不同的技术，然后你又拿第二个把锤子就把所有人都锤了一遍，还是有效没效，你就不断增加那个工具，最后就会融合，所以好多时候就是我的患者也问，然后也有我的客户去问你到底用的是哪个技术跟哪个技术都没有关系，就是他是一个当下的判断，看你这个阶段的这个问题需要用什么？支持。

蓉蓉子(00:05:27): 对没错，你已经走到了从有形，然后到这个中间可能会有一段的这个混沌期哈，就说，我有这个你就会有可能会有拉扯和混沌，然后后面就觉得原来不管做什么那个都是。我今天我现在也在放，就是金刚经的这个背景音就是所见诸相非相的另外一个阶段了。因为都是看得见的，其实都是有形的呈现出来的，像最最最重要的你，你可以来想一下他们为什么当时要买你。产品只是你呈现出来的一个形态。就会更有感知了。

六六(00:06:09): 可有意思了，我感觉大家都啥都没问，然后就直接打钱。

蓉蓉子(00:06:15): 所以你说所谓心法哈，其实我觉得当然我觉得也是跟你一起来探讨来共创哈，就是我觉得当我们达到不管你用什么样的有形的形态或者这个相去呈现的时候，别人都愿意去跟你接一下的是接的是你底层的时候，这个也许可能就是我们底层心法的部分。而重点不在于呈现出来的叫什么什么营和什么什么的叫产品的那个形态的部分，你感知一下是不是这样的。

六六(00:06:53): 是你刚刚说到新法，其实新法我还没有完全拆出来，因为我觉得这个系统更庞大。

蓉蓉子(00:07:02): 对新法我觉得也不用猜，就跟我看你最近写了一条朋友圈写的特别好，那条朋友圈原话怎么说的，我忘掉了，就是大意，就说就跟去做销售这件事情一样的，就是你反而去传达叫这个技巧是很容易教的方法也是可以被教的，但是你再往深看销售这件事情，我们叫。法不经传或者是你这个道你很难用，就是那种方式表现出来的方式来告诉大家，其实销售是这样的，也并不是你们看到的这些方法。所以我认为这个就是心法的部分，其实它是很难被叫我们叫结构化，或者是很难被总结的，但是我们可以通过就是这个语言来传递，让别人感知到，原来它下面还有。这个我觉得就是所谓的这个心法的部分，也没有什么那个叫规则的那种逻辑的，就会有一点那个叫不可经传，或者叫就是智慧不很难被理解，但他只能被那个经由和实践的那种感觉。

六六(00:08:27): 你你想表达的是语言和方式都很匮乏，但是它是能通过行为或者是感受去传递的。

蓉蓉子(00:08:28): 对。对所以心法有没有逻辑，我觉得认为心法它其实是还是要根据每个人的他的一个觉察体悟来决定，但是不变的是什么，不变的是我们的那个发心。那个发心是别人可以感知到的感知到你的发心是你是快速想去赚钱，还是想真的给别人提供价值，就是那种很微妙的那种的时候，我感觉哈别人是。可以有感知的，所以你已经从你，你自己也能感知到，其实你并不是说，就当你带着说我要完成这个目标的时候，就是那个目标也会传到给你的客户。

六六(00:09:27): 对。

蓉蓉子(00:09:27): 但你放弃了，你说我是真的发现了一个好玩的方式，这个我也很想邀请别人进来，跟我一起玩的时候，别人感受到那个玩的乐趣，而不是说你真的要去从他那里获得什么。其实这个就是你你拿捏的你你你的，我觉得最近状态走的很好的一个点。

六六(00:09:53): 我觉得可能也是跟我就是很多的把就锻炼身体，或者是回到就回到身体嘛，然后我就会发现把它重建了之后，它又有更多的力量，其实可以带给你。

